obec,email_1,email_2,telefon,web,url
"Abelova","obec.abelova@gmail.com","obec@abelova.sk","0118630671","https://www.abelova.sk","https://www.e-obce.sk/obec/abelova/abelova.html"
"Abovce","obec.abovce@centrum.sk","info@obecabovce.sk","0118630671","https://www.obecabovce.sk","https://www.e-obce.sk/obec/abovce/abovce.html"
"Abraham","urad@abraham.sk","","0118630671","https://www.abraham.sk","https://www.e-obce.sk/obec/abraham/abraham.html"
"Abrahamovce","starosta@abrahamovce-bj.sk","","0118630671","","https://www.e-obce.sk/obec/abrahamovce/abrahamovce.html"
"Abrahamovce kezmarok","abrahamovce@abrahamovce.sk,","","0118630671","https://www.abrahamovce.sk","https://www.e-obce.sk/obec/abrahamovce-kezmarok/abrahamovce.html"
"Abramova","uobecny5@gaya.sk","","0118630671","https://www.abramova.sk","https://www.e-obce.sk/obec/abramova/abramova.html"
"Abranovce","obecabranovce@gmail.com","","0118630671","https://www.abranovce.sk","https://www.e-obce.sk/obec/abranovce/abranovce.html"
"Adamovskekochanovce","obec@adamovskekochanovce.sk","starosta@adamovskekochanovce.sk","0118630671","https://www.adamovskekochanovce.sk","https://www.e-obce.sk/obec/adamovskekochanovce/adamovske-kochanovce.html"
"Adidovce","obec.adidovce@gmail.com","starosta@obecadidovce.sk","0118630671","https://www.obecadidovce.sk","https://www.e-obce.sk/obec/adidovce/adidovce.html"
"Aleksince","obec@aleksince.sk","","0118630671","https://www.aleksince.sk","https://www.e-obce.sk/obec/aleksince/aleksince.html"
"Andovce","starosta@andovce.sk","","0118630671","https://www.andovce.sk","https://www.e-obce.sk/obec/andovce/andovce.html"
"Andrejova","obecandrejova@gmail.com","","0118630671","https://www.andrejova.eu","https://www.e-obce.sk/obec/andrejova/andrejova.html"
"Ardanovce","ouardanovce@wircom.sk","","0118630671","https://www.ardanovce.ocu.sk","https://www.e-obce.sk/obec/ardanovce/ardanovce.html"
"Ardovo","info@obecardovo.sk","starosta@obecardovo.sk","0118630671","https://www.obecardovo.sk","https://www.e-obce.sk/obec/ardovo/ardovo.html"
"Arnutovce","arnutovce@gmail.com","","0118630671","https://www.obecarnutovce.sk","https://www.e-obce.sk/obec/arnutovce/arnutovce.html"
"Bab","obecbab@obecbab.sk","","0118630671","https://www.obecbab.sk","https://www.e-obce.sk/obec/bab/bab.html"
