email,nazov_obce,okres,url_obce
"obec.abelova@gmail.com","Abelova","","https://www.taxinearme.sk/obec/abelova"
"obec.abovce@centrum.sk","Abovce","Rimavská Sobota","https://www.taxinearme.sk/obec/abovce"
"urad@abraham.sk","Abraham","","https://www.taxinearme.sk/obec/abraham"
"starosta@abrahamovce-bj.sk","Abrahamovce","","https://www.taxinearme.sk/obec/abrahamovce"
"abrahamovce@abrahamovce.sk","Abrahamovce kezmarok","","https://www.taxinearme.sk/obec/abrahamovce-kezmarok"
"uobecny5@gaya.sk","Abramova","","https://www.taxinearme.sk/obec/abramova"
"obecabranovce@gmail.com","Abranovce","Prešov","https://www.taxinearme.sk/obec/abranovce"
"obec@adamovskekochanovce.sk","Adamovskekochanovce","","https://www.taxinearme.sk/obec/adamovskekochanovce"
"obec.adidovce@gmail.com","Adidovce","Humenné","https://www.taxinearme.sk/obec/adidovce"
"obec@aleksince.sk","Aleksince","","https://www.taxinearme.sk/obec/aleksince"
"starosta@andovce.sk","Andovce","Nové Zámky","https://www.taxinearme.sk/obec/andovce"
"obecandrejova@gmail.com","Andrejova","","https://www.taxinearme.sk/obec/andrejova"
"ouardanovce@wircom.sk","Ardanovce","Topoľčany","https://www.taxinearme.sk/obec/ardanovce"
"info@obecardovo.sk","Ardovo","Rožňava","https://www.taxinearme.sk/obec/ardovo"
"arnutovce@gmail.com","Arnutovce","Spišská Nová Ves","https://www.taxinearme.sk/obec/arnutovce"
"obecbab@obecbab.sk","Bab","","https://www.taxinearme.sk/obec/bab"
"podatelna.obecbabie@gmail.com","Babie","Vranov nad Topľou","https://www.taxinearme.sk/obec/babie"
"obecbabin@orava.sk","Babin","","https://www.taxinearme.sk/obec/babin"
"obec@babina.sk","Babina","","https://www.taxinearme.sk/obec/babina"
"obec@babindol.sk","Babindol","Nitra","https://www.taxinearme.sk/obec/babindol"
"babinec2010@gmail.com","Babinec","Rimavská Sobota","https://www.taxinearme.sk/obec/babinec"
"info@bacuch.sk","Bacuch","","https://www.taxinearme.sk/obec/bacuch"
"bacurov@bacurov.sk","Bacurov","","https://www.taxinearme.sk/obec/bacurov"
"urad@obecbac.sk","Bac","","https://www.taxinearme.sk/obec/bac"
"obecbacka130@gmail.com","Backa","","https://www.taxinearme.sk/obec/backa"
"obecbackov@centrum.sk","Backov","","https://www.taxinearme.sk/obec/backov"
"obecny.urad@backovik.sk","Backovik","","https://www.taxinearme.sk/obec/backovik"
"info@badan.sk","Badan","","https://www.taxinearme.sk/obec/badan"
"obecbadice@azet.sk","Badice","","https://www.taxinearme.sk/obec/badice"
"badin@obecbadin.sk","Badin","","https://www.taxinearme.sk/obec/badin"
"starosta@bahon.sk","Bahon","","https://www.taxinearme.sk/obec/bahon"
"oubajany@zoznam.sk","Bajany","Michalovce","https://www.taxinearme.sk/obec/bajany"
"ocu@bajc.sk","Bajc","","https://www.taxinearme.sk/obec/bajc"
"info@bajerov.sk","Bajerov","Prešov","https://www.taxinearme.sk/obec/bajerov"
"obec@bajerovce.sk","Bajerovce","Sabinov","https://www.taxinearme.sk/obec/bajerovce"
"obecbajka@gmail.com","Bajka","Levice","https://www.taxinearme.sk/obec/bajka"
"referent@bajtava.sk","Bajtava","Nové Zámky","https://www.taxinearme.sk/obec/bajtava"
"urad@obecbaka.sk","Baka","Dunajská Streda","https://www.taxinearme.sk/obec/baka"
"starosta@balaze.sk","Balaze","","https://www.taxinearme.sk/obec/balaze"
