email,nazov_obce,url_obce
"obec.abelova@gmail.com","Abelova","https://www.taxinearme.sk"
"obec.abovce@centrum.sk","Abovce","https://www.taxinearme.sk"
"urad@abraham.sk","Abraham","https://www.taxinearme.sk"
"starosta@abrahamovce-bj.sk","Abrahamovce","https://www.taxinearme.sk"
"abrahamovce@abrahamovce.sk,","Abrahamovce Kezmarok","https://www.taxinearme.sk"
"uobecny5@gaya.sk","Abramova","https://www.taxinearme.sk"
"obecabranovce@gmail.com","Abranovce","https://www.taxinearme.sk"
"obec@adamovskekochanovce.sk","Adamovskekochanovce","https://www.taxinearme.sk"
"obec.adidovce@gmail.com","Adidovce","https://www.taxinearme.sk"
"obec@aleksince.sk","Aleksince","https://www.taxinearme.sk"
"starosta@andovce.sk","Andovce","https://www.taxinearme.sk"
"obecandrejova@gmail.com","Andrejova","https://www.taxinearme.sk"
"ouardanovce@wircom.sk","Ardanovce","https://www.taxinearme.sk"
"info@obecardovo.sk","Ardovo","https://www.taxinearme.sk"
"arnutovce@gmail.com","Arnutovce","https://www.taxinearme.sk"
"obecbab@obecbab.sk","Bab","https://www.taxinearme.sk"
"podatelna.obecbabie@gmail.com","Babie","https://www.taxinearme.sk"
"obecbabin@orava.sk","Babin","https://www.taxinearme.sk"
"obec@babina.sk","Babina","https://www.taxinearme.sk"
"obec@babindol.sk","Babindol","https://www.taxinearme.sk"
"babinec2010@gmail.com","Babinec","https://www.taxinearme.sk"
"info@bacuch.sk","Bacuch","https://www.taxinearme.sk"
"bacurov@bacurov.sk","Bacurov","https://www.taxinearme.sk"
"urad@obecbac.sk","Bac","https://www.taxinearme.sk"
"obecbacka130@gmail.com","Backa","https://www.taxinearme.sk"
"obecbackov@centrum.sk","Backov","https://www.taxinearme.sk"
"obecny.urad@backovik.sk","Backovik","https://www.taxinearme.sk"
"info@badan.sk","Badan","https://www.taxinearme.sk"
"obecbadice@azet.sk","Badice","https://www.taxinearme.sk"
"badin@obecbadin.sk","Badin","https://www.taxinearme.sk"
